timestamp_utc,pair,direction,entry_price,exit_price,quantity,pnl_usd,balance_change_usd,balance_after_usd,regime,engine,hold_hours,exit_reason
2024-11-24T11:00:00.000Z,ETHUSDT,long,3475.07,3354.62,3.307455,-405.05,-405.05,104079.32,TREND_UP,trend,20,stop
2024-11-27T16:00:00.000Z,BTCUSDT,short,93840,95610.4,0.142142,-259.8,-259.8,103819.52,TREND_DOWN,trend,42,exit
2024-12-08T09:00:00.000Z,ETHUSDT,long,3987.88,3942.96,2.457773,-116.22,-116.22,103703.3,TREND_UP,trend,42,exit
2024-12-18T04:00:00.000Z,BTCUSDT,long,104460.5,104716.8,0.201851,39.05,39.05,103742.35,TREND_UP,trend,52,exit
2024-12-21T06:00:00.000Z,ETHUSDT,short,3768.77,3531.73,2.894861,680.06,680.06,104422.42,TREND_DOWN,trend,58,exit
2024-12-30T18:00:00.000Z,BTCUSDT,short,92659,94319.96,0.229174,-393.62,-393.62,104028.8,TREND_DOWN,trend,4,stop
2025-01-07T15:00:00.000Z,ETHUSDT,long,3467.84,3568.01,5.643937,553.27,553.27,104582.07,TREND_UP,trend,125,exit
2025-01-07T16:00:00.000Z,BTCUSDT,long,96721.9,97915.4,0.219058,248.58,248.58,104830.64,TREND_UP,trend,126,exit
2025-01-10T11:00:00.000Z,BTCUSDT,short,95267.8,95160,0.17259,8.75,8.75,104839.4,TREND_DOWN,trend,52,exit
2025-01-15T14:00:00.000Z,ETHUSDT,short,3384.36,3297.01,3.00532,256.57,256.57,105095.96,TREND_DOWN,trend,186,exit
2025-01-23T02:00:00.000Z,BTCUSDT,long,98916.1,102908.6,0.172808,679.26,679.26,105775.23,TREND_UP,trend,180,exit
2025-01-27T13:00:00.000Z,BTCUSDT,short,98918,101211.35,0.167606,-394.56,-394.56,105380.67,TREND_DOWN,trend,6,stop
2025-01-27T21:00:00.000Z,ETHUSDT,short,3082.75,3177.91,4.259922,-413.5,-413.5,104967.17,TREND_DOWN,trend,14,stop
2025-02-01T09:00:00.000Z,ETHUSDT,long,3334.22,3238.03,4.181441,-410.34,-410.34,104556.83,TREND_UP,trend,21,stop
2025-02-03T19:00:00.000Z,BTCUSDT,short,99160.8,99772.9,0.196642,-132.14,-132.14,104424.7,TREND_DOWN,trend,39,exit
2025-02-06T07:00:00.000Z,ETHUSDT,short,3014.71,2852.08,3.649782,587.32,587.32,105012.02,TREND_DOWN,trend,86,exit
2025-02-10T14:00:00.000Z,ETHUSDT,short,2586.45,2676.38,3.333991,-305.18,-305.18,104706.84,TREND_DOWN,trend,65,exit
2025-02-17T15:00:00.000Z,ETHUSDT,long,2825.54,2746.6,5.080878,-409.48,-409.48,104297.36,TREND_UP,trend,0,stop
2025-02-21T15:00:00.000Z,BTCUSDT,long,99281.7,98037.29,0.305578,-398.24,-398.24,103899.12,TREND_UP,trend,1,stop
2025-03-01T03:00:00.000Z,BTCUSDT,short,92380.1,85187.4,0.17789,1270.42,1270.42,105169.54,TREND_DOWN,trend,100,exit
2025-03-02T17:00:00.000Z,ETHUSDT,short,2506.66,2441.68,3.413954,216.84,216.84,105386.38,TREND_DOWN,trend,138,exit
2025-03-10T09:00:00.000Z,ETHUSDT,short,2048.01,2129.5,4.903338,-405.82,-405.82,104980.55,TREND_DOWN,trend,16,stop
2025-03-12T13:00:00.000Z,BTCUSDT,short,83427.8,84021.4,0.220826,-142.21,-142.21,104838.34,TREND_DOWN,trend,71,exit
2025-03-21T12:00:00.000Z,BTCUSDT,long,85576.1,83555.75,0.190783,-395.01,-395.01,104443.33,TREND_UP,trend,41,stop
2025-03-25T03:00:00.000Z,BTCUSDT,long,87747.4,86401.23,0.284074,-397.14,-397.14,104046.19,TREND_UP,trend,16,stop
2025-04-01T07:00:00.000Z,ETHUSDT,short,1936.31,1856.79,5.992601,469.86,469.86,104516.05,TREND_DOWN,trend,98,exit
2025-04-01T09:00:00.000Z,BTCUSDT,short,84133.9,84070,0.229783,3.09,3.09,104519.14,TREND_DOWN,trend,90,exit
2025-04-07T14:00:00.000Z,BTCUSDT,short,78034.4,80286.39,0.168409,-387.37,-387.37,104131.77,TREND_DOWN,trend,15,stop
2025-04-09T18:00:00.000Z,ETHUSDT,short,1684,1631.9,6.382866,326.3,326.3,104458.07,TREND_DOWN,trend,72,exit
2025-04-24T09:00:00.000Z,ETHUSDT,long,1674.64,1733.8,6.94881,403.86,403.86,104861.93,TREND_UP,trend,42,exit
2025-04-28T01:00:00.000Z,BTCUSDT,long,86599.9,93373.7,0.294817,1980.51,1980.51,106842.44,TREND_UP,trend,168,exit
2025-05-05T22:00:00.000Z,BTCUSDT,short,93880.1,95158.31,0.305922,-408.5,-408.5,106433.94,TREND_DOWN,trend,20,stop
2025-05-12T15:00:00.000Z,BTCUSDT,long,100730.9,102757.2,0.203434,399.68,399.68,106833.62,TREND_UP,trend,95,exit
2025-05-12T19:00:00.000Z,ETHUSDT,long,1960.2,2434.19,6.222937,2940.52,2940.52,109774.14,TREND_UP,trend,104,exit
2025-05-14T17:00:00.000Z,ETHUSDT,long,2668.82,2555.43,3.768497,-433.09,-433.09,109341.05,TREND_UP,trend,22,stop
2025-05-19T03:00:00.000Z,BTCUSDT,long,106407.5,104220.65,0.178679,-401.92,-401.92,108939.13,TREND_UP,trend,3,stop
2025-06-01T17:00:00.000Z,BTCUSDT,short,103867.5,104984.4,0.172149,-203.12,-203.12,108736.02,TREND_DOWN,trend,48,exit
2025-06-12T04:00:00.000Z,BTCUSDT,long,107707.8,107820.5,0.288857,13.87,13.87,108749.88,TREND_UP,trend,64,exit
2025-06-12T08:00:00.000Z,ETHUSDT,long,2642.58,2739.45,6.195086,589.94,589.94,109339.82,TREND_UP,trend,58,exit
2025-06-13T23:00:00.000Z,BTCUSDT,short,103733.7,106136.92,0.160619,-396.23,-396.23,108943.59,TREND_DOWN,trend,22,stop
2025-06-16T23:00:00.000Z,BTCUSDT,long,108594.2,107063.88,0.250247,-399.03,-399.03,108544.55,TREND_UP,trend,3,stop
2025-06-20T07:00:00.000Z,BTCUSDT,short,103574.2,105506.88,0.196536,-392.28,-392.28,108152.27,TREND_DOWN,trend,62,stop
2025-06-20T07:00:00.000Z,ETHUSDT,short,2460.26,2551.81,4.678989,-435.53,-435.53,107716.73,TREND_DOWN,trend,62,stop
2025-06-22T00:00:00.000Z,BTCUSDT,short,101392.7,102968.76,0.239082,-391.58,-391.58,107325.15,TREND_DOWN,trend,2,stop
2025-06-23T20:00:00.000Z,ETHUSDT,short,2280.35,2376.15,4.436807,-431.38,-431.38,106893.78,TREND_DOWN,trend,46,stop
2025-06-30T15:00:00.000Z,BTCUSDT,long,107870.2,106764.6,0.227721,-266.36,-266.36,106627.42,TREND_UP,trend,121,exit
2025-07-02T08:00:00.000Z,BTCUSDT,short,105862.5,107282.01,0.261818,-388.51,-388.51,106238.91,TREND_DOWN,trend,17,stop
2025-07-04T08:00:00.000Z,ETHUSDT,long,2559.78,2533.85,6.191854,-169.97,-169.97,106068.95,TREND_UP,trend,39,exit
2025-07-15T04:00:00.000Z,BTCUSDT,long,112596.4,117209.2,0.24298,1103.73,1103.73,107172.68,TREND_UP,trend,107,exit
2025-07-22T05:00:00.000Z,ETHUSDT,long,2659,3654.74,7.073998,7028.35,7028.35,114201.03,TREND_UP,trend,304,exit
2025-07-28T13:00:00.000Z,ETHUSDT,long,3929.1,3827.22,4.643312,-483.72,-483.72,113717.31,TREND_UP,trend,7,stop
2025-08-03T11:00:00.000Z,ETHUSDT,short,3382.04,3508.89,3.700015,-477.13,-477.13,113240.18,TREND_DOWN,trend,16,stop
2025-08-14T13:00:00.000Z,BTCUSDT,long,117407.5,118822.2,0.220681,296.46,296.46,113536.64,TREND_UP,trend,161,exit
2025-08-14T13:00:00.000Z,ETHUSDT,long,3915.13,4568.48,4.161769,2707.68,2707.68,116244.33,TREND_UP,trend,158,exit
2025-08-21T02:00:00.000Z,BTCUSDT,short,113827.4,114684,0.19929,-184.43,-184.43,116059.9,TREND_DOWN,trend,35,exit
2025-08-31T00:00:00.000Z,ETHUSDT,short,4280.53,4444.47,2.964142,-493.85,-493.85,115566.06,TREND_DOWN,trend,33,stop
2025-08-31T01:00:00.000Z,BTCUSDT,short,108154.4,109339.9,0.164038,-205.23,-205.23,115360.83,TREND_DOWN,trend,34,exit
2025-09-05T14:00:00.000Z,BTCUSDT,long,112900,111195.65,0.22048,-390.48,-390.48,114970.34,TREND_UP,trend,6,stop
